FPR,TPR,Threshold
0.2068,0.7166,0.5912
0.2077,0.7166,0.5909
0.2097,0.7193,0.5907
0.2097,0.7219,0.5907
0.2145,0.7219,0.5886
0.2145,0.7246,0.5874
0.2203,0.7246,0.5821
0.2213,0.7299,0.5817
0.2213,0.7326,0.5806
0.2261,0.7326,0.5731
0.2261,0.738,0.5728
0.229,0.738,0.5715
0.229,0.7406,0.5694
0.2329,0.7406,0.5683
0.2329,0.7433,0.5664
0.2338,0.7433,0.5655
0.2338,0.746,0.5638
0.2357,0.746,0.5621
0.2357,0.7487,0.5607
0.2367,0.7487,0.559
0.2367,0.7513,0.5587
0.2377,0.7513,0.5584
0.2377,0.754,0.5583
0.2396,0.754,0.5581
0.2396,0.7567,0.5575
0.2406,0.7567,0.5573
0.2406,0.7594,0.5571
0.2415,0.7594,0.5568
0.2415,0.7647,0.5536
0.2425,0.7647,0.5532
0.2425,0.7674,0.553
0.2454,0.7674,0.5508
0.2454,0.7701,0.5499
0.2483,0.7701,0.548
0.2483,0.7727,0.5478
0.2502,0.7727,0.5415
0.2502,0.7754,0.5389
0.2551,0.7754,0.5327
0.2551,0.7888,0.522
0.2599,0.7888,0.5184
0.2599,0.7941,0.5176
0.2609,0.7941,0.5175
0.2609,0.7968,0.5174
0.2618,0.7968,0.5172
0.2618,0.7995,0.5167
0.2667,0.7995,0.5115
0.2667,0.8048,0.5088
0.2686,0.8048,0.5074
0.2686,0.8075,0.507
0.2696,0.8075,0.5052
0.2696,0.8102,0.5028
0.2763,0.8102,0.4907
0.2763,0.8155,0.4895
0.2783,0.8155,0.4892
0.2783,0.8182,0.4892
0.285,0.8182,0.4841
0.285,0.8209,0.4834
0.2899,0.8209,0.4803
0.2899,0.8235,0.4792
0.3014,0.8235,0.4582
0.3014,0.8262,0.4567
0.3053,0.8262,0.4543
0.3053,0.8289,0.4542
0.3063,0.8289,0.4516
0.3063,0.8316,0.451
0.3082,0.8316,0.4493
0.3082,0.8342,0.4483
0.315,0.8342,0.4403
0.315,0.8369,0.4341
0.3159,0.8369,0.4322
0.3159,0.8396,0.4309
0.3237,0.8396,0.4271
0.3237,0.8449,0.4256
0.3382,0.8449,0.4075
0.3382,0.8476,0.4065
0.343,0.8476,0.402
0.343,0.8503,0.4008
0.344,0.8503,0.4006
0.344,0.8529,0.3976
0.3449,0.8529,0.3968
0.3449,0.8583,0.3955
0.3459,0.8583,0.3954
0.3459,0.861,0.3952
0.3536,0.861,0.3858
0.3536,0.8636,0.3858
0.3614,0.8636,0.38
0.3614,0.8663,0.3768
0.3652,0.8663,0.3729
0.3652,0.8717,0.3691
0.37,0.8717,0.3642
0.37,0.8743,0.364
0.3729,0.8743,0.3622
0.3729,0.8797,0.358
0.3758,0.8797,0.3562
0.3768,0.8824,0.3555
0.3816,0.8824,0.3474
0.3816,0.885,0.3458
0.3855,0.885,0.342
0.3855,0.8877,0.3406
0.4029,0.8877,0.3286
0.4029,0.8904,0.3285
0.4048,0.8904,0.3265
0.4048,0.893,0.3263
0.4087,0.893,0.3225
0.4087,0.8984,0.3222
0.4097,0.8984,0.3221
0.4097,0.9011,0.3221
0.4164,0.9011,0.3137
0.4164,0.9037,0.3134
0.4213,0.9037,0.3087
0.4213,0.9064,0.3081
0.43,0.9064,0.3009
0.43,0.9118,0.3002
0.4319,0.9118,0.2988
0.4319,0.9144,0.2988
0.4357,0.9144,0.295
0.4357,0.9171,0.2947
0.4386,0.9171,0.2874
0.4386,0.9198,0.2869
0.4425,0.9198,0.2822
0.4425,0.9225,0.2819
0.4599,0.9225,0.258
0.4599,0.9251,0.2564
0.4657,0.9251,0.2503
0.4657,0.9278,0.2487
0.4725,0.9278,0.2431
0.4725,0.9305,0.2428
0.486,0.9305,0.2353
0.486,0.9332,0.2349
0.4879,0.9332,0.2343
0.4879,0.9358,0.2341
0.4937,0.9358,0.2268
0.4937,0.9385,0.2257
0.5005,0.9385,0.2202
0.5024,0.9385,0.2181
0.5101,0.9385,0.2152
0.5101,0.9412,0.2148
0.5159,0.9412,0.2128
0.5159,0.9439,0.2123
0.5275,0.9439,0.2025
0.5275,0.9465,0.2024
0.5314,0.9465,0.196
0.5314,0.9492,0.1932
0.5333,0.9492,0.192
0.5333,0.9519,0.1915
0.5391,0.9519,0.187
0.5391,0.9545,0.1864
0.5652,0.9545,0.1661
0.5652,0.9572,0.1649
0.5671,0.9572,0.1639
0.5671,0.9599,0.1635
0.5729,0.9599,0.1605
0.5729,0.9626,0.1598
0.5971,0.9626,0.1374
0.5971,0.9652,0.136
0.6155,0.9652,0.1175
0.6155,0.9679,0.1171
0.629,0.9679,0.1088
0.629,0.9733,0.1073
0.6396,0.9733,0.1013
0.6396,0.9759,0.1012
0.6493,0.9759,0.0962
0.6493,0.9786,0.0953
0.6918,0.9786,0.0782
0.6918,0.9813,0.0781
0.6928,0.9813,0.0775
0.6928,0.984,0.0772
0.7237,0.984,0.0664
0.7266,0.984,0.0657
0.7343,0.984,0.0643
0.7343,0.9866,0.0641
0.7826,0.9866,0.0523
0.7826,0.9893,0.0523
0.7903,0.9893,0.0497
0.7923,0.9893,0.0496
0.8068,0.9893,0.0472
0.8068,0.992,0.0471
0.83,0.992,0.0423
0.83,0.9947,0.0423
0.8348,0.9947,0.041
0.8348,0.9973,0.041
0.8473,0.9973,0.0388
0.8493,0.9973,0.0387
0.858,0.9973,0.0374
0.8599,0.9973,0.0374
0.8638,0.9973,0.0368
0.8657,0.9973,0.0365
0.913,0.9973,0.0236
0.915,0.9973,0.0233
0.9556,0.9973,0.0144
0.9556,1.0,0.0143
0.9845,1.0,0.0087
0.9865,1.0,0.0083
1.0,1.0,0.0067
